tache,index,prefix,ids,textes
3,PERSONNES,SMPO-AB,SMPO-AB_rs_1079 SMPO-AB_rs_1080,Jean Valet . || Jean Valet .
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0601 SAPC-AB_rs_0602 SAPC-AB_rs_0604,"Johanna: Saint-Antoine-des-Champs, acte 306. || Johanna: Saint-Antoine-des-Champs, acte 346; v. Philipus de Monsterolio, maritus ejus. || Johanna: Saint-Antoine-des-Champs, acte 79; v. Rogerus de Camera, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0609 SAPC-AB_rs_0610 SAPC-AB_rs_0611 SAPC-AB_rs_0612 SAPC-AB_rs_0613 SAPC-AB_rs_0614 SAPC-AB_rs_0616 SAPC-AB_rs_0619,"Johannes: Saint-Antoine-des-Champs, acte 278; v. Ascelina, mater ejus. || Johannes: Saint-Antoine-des-Champs, acte 207; v. Bochardus de Monmorenciaco et Matheus, fratres ejus. || Johannes: Saint-Antoine-des-Champs, acte 249; v. Guido de Gallanda, Guillermus, Ansellus, fratres ejus. || Johannes: Saint-Antoine-des-Champs, acte 322, Saint-Antoine-des-Champs, acte 329, Saint-Antoine-des-Champs, acte 343; v. Guillelmus de Gleseria, pater || Johannes: Saint-Antoine-des-Champs, acte 367; v. Hugo de Lineriis, pater ejus. || Johannes: Saint-Antoine-des-Champs, acte 336; v. Johannes de Nemore, frater ejus. || Johannes: Saint-Antoine-des-Champs, acte 145; v. Philippus de Lices, frater ejus. || Johannes: Saint-Antoine-des-Champs, acte 229; v. Stephanus de Sacro Cesaris, pater ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3473 HDPAR-HD_rs_3474,"Johannes de Corbolio . || Johannes de Corbolio, C 490."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3571 HDPAR-HD_rs_3572 HDPAR-HD_rs_3573,Johannes Faber . || Johannes Faber . || Johannes Faber .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3593 HDPAR-HD_rs_3594,Johannes Lecot . || Johannes Lecot .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3603 HDPAR-HD_rs_3604,Johannes Major . || Johannes Major .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3614 HDPAR-HD_rs_3615,"Johannes Normannus , C 488. || Johannes Normannus ."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0668 SAPC-AB_rs_0669,"Juliana: Saint-Antoine-des-Champs, acte 126; v. Bernardus, maritus ejus. || Juliana: Saint-Antoine-des-Champs, acte 311; v. Petrus de Campis, maritus ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3757 HDPAR-HD_rs_3758,Lecot (Johannes) . || Lecot (Johannes) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3921 HDPAR-HD_rs_3922,Major (Johannes) . || Major (Johannes) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_4304 HDPAR-HD_rs_4305,Milo . || Milo .
